vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
374,car,10.8,32101,32847,535.017,547.45
359,truck,10.0,30320,32907,505.333,548.45
394,van,0.4,32831,32916,547.183,548.6
375,motor,0.6,32042,32158,534.033,535.967
378,car,16.5,32169,33093,536.15,551.55
380,car,19.8,32270,33187,537.833,553.117
372,motor,0.2,31908,32366,531.8,539.433
379,motor,1.0,32246,32370,537.433,539.5
381,van,24.3,32276,33289,537.933,554.817
383,motor,0.8,32368,32482,539.467,541.367
385,motor,0.3,32444,32516,540.733,541.933
382,van,23.5,32290,33423,538.167,557.05
388,van,26.8,32506,33567,541.767,559.45
392,motor,0.4,32557,32753,542.617,545.883
397,tricycle,0.3,33635,33649,560.583,560.817
395,car,28.9,33207,33696,553.45,561.6
398,van,2.7,33732,33738,562.2,562.3
396,van,29.4,33411,33826,556.85,563.767
402,car,34.0,33966,34046,566.1,567.433
399,van,30.3,33756,34084,562.6,568.067
404,van,1.7,34079,34092,567.983,568.2
401,motor,53.6,33962,34122,566.033,568.7
400,car,33.3,33852,34166,564.2,569.433
403,car,24.9,34070,34248,567.833,570.8
405,car,28.3,34230,34293,570.5,571.55
406,car,5.9,34296,34298,571.6,571.633
408,car,33.9,34324,34458,572.067,574.3
409,motor,24.5,34458,34460,574.3,574.333
407,truck,27.2,34298,34560,571.633,576.0
418,pedestrian,15.5,34564,34566,576.067,576.1
419,motor,2.7,34578,34593,576.3,576.55
421,people,13.6,34600,34602,576.667,576.7
424,tricycle,3.8,34731,34733,578.85,578.883
415,car,41.0,34532,34767,575.533,579.45
425,van,31.3,34979,35251,582.983,587.517
426,van,32.0,35165,35439,586.083,590.65
430,tricycle,2.8,35633,35639,593.883,593.983
428,van,28.1,35341,35685,589.017,594.75
429,van,28.8,35517,35689,591.95,594.817
432,motor,49.3,35691,35754,594.85,595.9
436,van,1.1,35954,35960,599.233,599.333
438,car,27.5,35982,36072,599.7,601.2
439,van,11.5,36106,36110,601.767,601.833
441,car,21.2,36114,36238,601.9,603.967
444,van,2.3,36422,36546,607.033,609.1
446,motor,33.4,36566,36636,609.433,610.6
448,motor,0.2,36688,36711,611.467,611.85
447,pedestrian,30.8,36679,36851,611.317,614.183
449,motor,6.9,36901,36909,615.017,615.15
450,motor,0.3,36971,36993,616.183,616.55
452,van,16.6,37057,37185,617.617,619.75
454,motor,19.7,37599,37722,626.65,628.7
456,motor,16.3,37790,37836,629.833,630.6
451,tricycle,2.2,36981,37059,616.35,617.65
458,motor,7.1,38080,38166,634.667,636.1
459,motor,6.9,38182,38193,636.367,636.55
457,van,9.8,37946,38194,632.433,636.567
440,car,7.7,36112,38510,601.867,641.833
462,tricycle,0.1,38548,38549,642.467,642.483
455,tricycle,1.0,37653,37743,627.55,629.05
433,van,15.5,35691,38643,594.85,644.05
443,car,14.1,36258,38678,604.3,644.633
431,van,18.9,35691,38773,594.85,646.217
464,car,31.7,38761,38775,646.017,646.25
452,van,19.1,37230,38781,620.5,646.35
466,tricycle,0.9,38779,38795,646.317,646.583
463,car,12.9,38614,38881,643.567,648.017
434,truck,19.2,35840,38885,597.333,648.083
457,van,21.2,38233,38942,637.217,649.033
468,car,16.5,38981,38987,649.683,649.783
437,van,22.1,35980,39031,599.667,650.517
465,car,26.1,38777,39043,646.283,650.717
460,motor,5.3,38200,38268,636.667,637.8
463,car,26.9,38925,39153,648.75,652.55
453,motor,0.8,37110,38343,618.5,639.05
442,van,23.1,36184,39231,603.067,653.85
470,van,12.8,39161,39243,652.683,654.05
445,car,23.1,36486,39393,608.1,656.55
469,van,25.4,39047,39507,650.783,658.45
461,car,3.5,38332,38672,638.867,644.533
472,van,26.4,39257,39583,654.283,659.717
473,van,20.8,39407,39693,656.783,661.55
476,car,16.5,39744,39748,662.4,662.467
477,motor,44.4,39804,39838,663.4,663.967
478,bus,17.0,39816,39872,663.6,664.533
474,car,25.6,39491,39896,658.183,664.933
479,motor,52.6,39852,39980,664.2,666.333
480,truck,14.9,39936,39993,665.6,666.55
475,car,27.7,39655,39998,660.917,666.633
482,motor,0.2,40001,40002,666.683,666.7
484,motor,4.7,40023,40026,667.05,667.1
485,motor,13.7,40028,40030,667.133,667.167
481,car,47.6,39988,40102,666.467,668.367
486,motor,57.2,40036,40102,667.267,668.367
487,pedestrian,0.7,40127,40170,668.783,669.5
489,truck,21.6,40176,40178,669.6,669.633
493,motor,21.6,40230,40350,670.5,672.5
494,van,27.0,40290,40620,671.5,677.0
497,pedestrian,6.2,40945,40999,682.417,683.317
500,car,14.7,41009,41017,683.483,683.617
496,van,34.1,40849,41127,680.817,685.45
503,pedestrian,7.3,41157,41191,685.95,686.517
504,pedestrian,2.1,41213,41223,686.883,687.05
505,pedestrian,1.5,41233,41237,687.217,687.283
499,van,32.4,40959,41243,682.65,687.383
495,truck,8.1,40749,41343,679.15,689.05
501,bus,14.2,41105,41347,685.083,689.117
507,truck,55.3,41319,41363,688.65,689.383
510,car,13.7,41357,41363,689.283,689.383
509,car,13.3,41347,41373,689.117,689.55
511,truck,18.1,41369,41379,689.483,689.65
508,motor,0.1,41341,41389,689.017,689.817
502,van,22.0,41115,41439,685.25,690.65
491,motor,1.6,40204,40577,670.067,676.283
512,bus,28.2,41575,41643,692.917,694.05
506,car,11.2,41314,41748,688.567,695.8
514,truck,16.0,41722,41766,695.367,696.1
516,pedestrian,4.2,41782,41798,696.367,696.633
517,motor,0.7,41795,41828,696.583,697.133
513,bus,15.5,41700,41918,695.0,698.633
515,van,9.8,41734,41950,695.567,699.167
498,motor,0.6,40953,41099,682.55,684.983
521,pedestrian,9.5,41998,42030,699.967,700.5
521,pedestrian,4.3,42067,42116,701.117,701.933
518,car,16.6,41812,42298,696.867,704.967
525,pedestrian,4.0,42354,42380,705.9,706.333
528,bus,5.1,42430,42462,707.167,707.7
519,bus,10.5,41976,42498,699.6,708.3
528,bus,0.8,42501,42502,708.35,708.367
526,motor,13.2,42388,42508,706.467,708.467
529,motor,9.2,42518,42580,708.633,709.667
531,motor,5.3,42610,42652,710.167,710.867
536,motor,5.8,42761,42773,712.683,712.883
533,motor,26.1,42739,42831,712.317,713.85
539,motor,10.3,42903,42993,715.05,716.55
522,tricycle,0.4,41998,42525,699.967,708.75
541,pedestrian,3.2,43399,43408,723.317,723.467
542,motor,5.9,43427,43431,723.783,723.85
543,pedestrian,4.9,43436,43445,723.933,724.083
544,motor,10.1,43451,43487,724.183,724.783
545,motor,7.5,43563,43567,726.05,726.117
546,truck,1.9,43567,43593,726.117,726.55
532,van,7.6,42638,42745,710.633,712.417
547,motor,0.4,43622,43657,727.033,727.617
550,motor,3.8,43720,43722,728.667,728.7
549,motor,5.6,43714,43725,728.567,728.75
551,motor,4.2,43772,43790,729.533,729.833
540,car,0.7,43131,43562,718.85,726.033
535,tricycle,2.4,42743,43573,712.383,726.217
554,van,15.0,44276,44526,737.933,742.1
527,car,12.1,42424,44676,707.067,744.6
520,van,12.5,41992,44793,699.867,746.55
556,van,0.5,44771,44817,746.183,746.95
537,van,20.4,42815,44953,713.583,749.217
557,car,45.8,44959,45015,749.317,750.25
534,van,27.0,42741,45037,712.35,750.617
538,van,17.5,42847,45095,714.117,751.583
530,truck,3.6,42556,44252,709.267,737.533
552,motor,1.4,43792,44254,729.867,737.567
553,motor,0.6,43796,44280,729.933,738.0
558,car,38.9,45033,45159,750.55,752.65
548,car,17.2,43641,45243,727.35,754.05
560,tricycle,6.6,45154,45253,752.567,754.217
561,car,34.3,45207,45293,753.45,754.883
562,tricycle,0.5,45267,45321,754.45,755.35
555,car,22.2,44757,45371,745.95,756.183
564,car,32.2,45289,45371,754.817,756.183
565,car,32.5,45319,45471,755.317,757.85
567,motor,45.8,45483,45537,758.05,758.95
566,car,31.7,45399,45559,756.65,759.317
568,motor,65.6,45531,45585,758.85,759.75
559,van,18.8,45125,45593,752.083,759.883
571,van,38.8,45579,45639,759.65,760.65
573,truck,10.7,45643,45647,760.717,760.783
570,motor,42.0,45567,45677,759.45,761.283
572,motor,57.6,45623,45685,760.383,761.417
563,van,14.5,45269,45693,754.483,761.55
575,pedestrian,1.7,45772,45776,762.867,762.933
569,truck,42.9,45541,45782,759.017,763.033
577,motor,0.8,45848,45880,764.133,764.667
574,van,39.2,45728,45888,762.133,764.8
578,van,19.7,45896,45902,764.933,765.033
579,truck,29.5,45898,45940,764.967,765.667
580,motor,30.7,45980,46036,766.333,767.267
576,van,30.2,45776,46126,762.933,768.767
581,motor,32.6,46054,46244,767.567,770.733
585,motor,8.5,46258,46270,770.967,771.167
